citing_docdb_family_id,cited_docdb_family_id
7682117,3522570
7696219,3522570
7925269,3522570
8310280,3522570
27220727,3522570
29264853,3522570
32735561,3522570
33039099,3522570
34177692,3522570
34936138,3522570
34958415,3522570
35344643,3522570
36096722,3522570
38198255,3522570
38515503,3522570
38895466,3522570
40278978,3522570
40419027,3522570
42034544,3522570
42341746,3522570
42542714,3522570
33039099,7632792
34177692,7632792
34967793,7632792
34969837,7632792
35464091,7632792
36096722,7632792
37683696,7632792
39868676,7632792
40567848,7632792
43734403,7632792
43734564,7632792
7677928,7634034
28798968,7634034
31993101,7634034
32694867,7634034
33441310,7634034
34129838,7634034
34530405,7634034
34609975,7634034
34941028,7634034
35448152,7634034
35482128,7634034
35513109,7634034
35727139,7634034
35746213,7634034
35799306,7634034
35841849,7634034
36928256,7634034
36998545,7634034
37114539,7634034
37865899,7634034
38170014,7634034
38286555,7634034
38566895,7634034
38577937,7634034
38596273,7634034
39262797,7634034
39311312,7634034
39645219,7634034
39719400,7634034
40220839,7634034
40417886,7634034
40467344,7634034
40605235,7634034
40679036,7634034
40810593,7634034
40936293,7634034
41009904,7634034
41161329,7634034
41203501,7634034
41416405,7634034
41466370,7634034
42056602,7634034
42084581,7634034
42197712,7634034
42231268,7634034
42338730,7634034
7677928,7637663
7700862,7637663
32922153,7637663
34908870,7637663
34981372,7637663
35432892,7637663
35746213,7637663
35799306,7637663
36998545,7637663
38069075,7637663
39020544,7637663
39107009,7637663
39311311,7637663
39462164,7637663
40044115,7637663
40565192,7637663
40691046,7637663
40785550,7637663
40874086,7637663
42222090,7637663
42230233,7637663
36147049,7641030
36998545,7641030
40786860,7641030
41203501,7641030
42238705,7641030
45022290,7641030
7682248,7641584
7700862,7641584
26009137,7641584
33435955,7641584
34129838,7641584
34276543,7641584
34559138,7641584
36118097,7641584
36407933,7641584
37076124,7641584
38335543,7641584
38335742,7641584
39364868,7641584
39926154,7641584
40090342,7641584
40538868,7641584
40667156,7641584
41600742,7641584
42230232,7641584
42663923,7641584
43448268,7641584
43530378,7641584
43534248,7641584
44798101,7641584
7673596,7641891
34315649,7641891
34746184,7641891
35344643,7641891
38776817,7641891
43027651,7641891
43033465,7641891
34178077,7647085
34962866,7647085
40030902,7647085
41566520,7647085
42034544,7647085
42728864,7647085
7673596,7647633
31993101,7647633
37669295,7647633
39311312,7647633
39597613,7647633
39808738,7647633
40283433,7647633
42333353,7647633
43598138,7647633
7693714,7648210
34941101,7648210
36928256,7648210
36940041,7648210
36998545,7648210
38286555,7648210
38577937,7648210
38787027,7648210
39314392,7648210
40472130,7648210
41134545,7648210
41161329,7648210
41717370,7648210
42034524,7648210
42084581,7648210
43530378,7648210
43854229,7648210
29796368,7662857
38283286,7662857
19189473,7664328
34139873,7664328
34937742,7664328
34969837,7664328
35746213,7664328
37481438,7664328
38170014,7664328
40384198,7664328
43796282,7664328
27805233,7673596
33304930,7673596
34908870,7673596
34941028,7673596
34969837,7673596
35432892,7673596
36928256,7673596
38776817,7673596
39311312,7673596
40031721,7673596
40075573,7673596
40548680,7673596
41066610,7673596
42184116,7673596
43027651,7673596
44318287,7673596
39262797,7675751
40075574,7675751
42222093,7675751
42231268,7675751
42987695,7675751
7673596,7677928
34429593,7677928
34908870,7677928
34981372,7677928
35432892,7677928
35746213,7677928
35799306,7677928
37669295,7677928
39107009,7677928
39167923,7677928
39311312,7677928
39543051,7677928
39719400,7677928
40044115,7677928
40186081,7677928
40260118,7677928
40377585,7677928
40404268,7677928
40565192,7677928
40874086,7677928
41066590,7677928
41416405,7677928
42222090,7677928
43598138,7677928
33441310,7677929
34429593,7677929
38962000,7677929
39167923,7677929
41009904,7677929
42087881,7677929
23266785,7679374
34129838,7679374
37311884,7679374
38543649,7679374
38814486,7679374
39356556,7679374
39462164,7679374
39536770,7679374
39543051,7679374
39865390,7679374
40352370,7679374
42124481,7679374
42222080,7679374
42222081,7679374
42222082,7679374
42222959,7679374
42231271,7679374
42231272,7679374
43608613,7679374
44143117,7679374
45022290,7679374
34177692,7680654
34975926,7680654
7687149,7682117
43027651,7682117
7852685,7682248
26009137,7682248
34276543,7682248
35840322,7682248
39027518,7682248
34854339,7687149
40548680,7687149
43027651,7687149
43033465,7687149
32519827,7687372
33441310,7687372
35355814,7687372
35482128,7687372
35727139,7687372
35841849,7687372
39262797,7687372
39719400,7687372
39926153,7687372
40074870,7687372
40418868,7687372
40456174,7687372
41203501,7687372
41608546,7687372
43530378,7687372
44081267,7687372
28050863,7687374
40469814,7687374
34681755,7692180
35841849,7692180
38134496,7692180
38625329,7692180
39868708,7692180
40387899,7692180
40456581,7692180
42166017,7692180
43608895,7692180
44708737,7692180
31185862,7693714
32910021,7693714
33550481,7693714
35355814,7693714
35840322,7693714
35841849,7693714
36147049,7693714
36928256,7693714
38566895,7693714
39865390,7693714
43217949,7693714
44143115,7693714
44167744,7693714
38162135,7695161
7696580,7696033
33039175,7696033
34259111,7696033
34854339,7696033
34926988,7696033
34936138,7696033
34957948,7696033
34959688,7696033
35276530,7696033
36869917,7696033
36933610,7696033
38015549,7696033
38459383,7696033
38470837,7696033
38515461,7696033
38517025,7696033
38805602,7696033
38814486,7696033
38996209,7696033
40518527,7696033
40621357,7696033
40753500,7696033
41318448,7696033
42222974,7696033
42286472,7696033
42341746,7696033
44143113,7696033
33039099,7696219
34259111,7696219
34959688,7696219
34962866,7696219
34966536,7696219
34967793,7696219
34969837,7696219
35134119,7696219
35276530,7696219
39311311,7696219
39868676,7696219
40030902,7696219
40265972,7696219
40467344,7696219
40936293,7696219
42234709,7696219
42289680,7696219
42356263,7696219
44307305,7696219
44597066,7696219
32864375,7696580
33039175,7696580
34936138,7696580
35276530,7696580
35809593,7696580
36869917,7696580
36933610,7696580
38015549,7696580
38996209,7696580
44366931,7696580
32865083,7700862
33435955,7700862
34635435,7700862
34681755,7700862
35840322,7700862
35998481,7700862
36118067,7700862
36118097,7700862
36764595,7700862
37637522,7700862
37734774,7700862
38335543,7700862
38566895,7700862
38740123,7700862
38740163,7700862
39032120,7700862
39364868,7700862
39739517,7700862
39868708,7700862
39926154,7700862
40175879,7700862
40456345,7700862
40795198,7700862
40847170,7700862
41466370,7700862
41566767,7700862
41682710,7700862
41818344,7700862
42056602,7700862
42102376,7700862
42174587,7700862
42315657,7700862
43448268,7700862
43854229,7700862
44798101,7700862
28050789,7704364
28050790,7704364
33394310,7704364
40298698,7704364
42282582,7704364
43588696,7710172
7637663,7836808
7641030,7836808
7647633,7836808
7664328,7836808
7679374,7836808
7696219,7836808
7924735,7836808
8157165,7836808
31993101,7836808
32694867,7836808
32771011,7836808
32910021,7836808
33426916,7836808
33441310,7836808
34103166,7836808
34315649,7836808
34908870,7836808
34961759,7836808
34969837,7836808
35276530,7836808
35432892,7836808
35929971,7836808
36928256,7836808
36940041,7836808
37027500,7836808
37114539,7836808
37669295,7836808
38222676,7836808
38519700,7836808
38596273,7836808
39020544,7836808
39081588,7836808
39401353,7836808
39597613,7836808
40379631,7836808
40591544,7836808
40850776,7836808
42059741,7836808
42987695,7836808
43304664,7836808
43448163,7836808
37649471,7837740
38805602,7837740
7641584,7852685
7664328,7852685
7682248,7852685
7700862,7852685
26009137,7852685
32708399,7852685
32865083,7852685
33435955,7852685
34276543,7852685
34559138,7852685
34679397,7852685
34681755,7852685
35721676,7852685
37076124,7852685
37873336,7852685
38335742,7852685
38566895,7852685
39855033,7852685
40075574,7852685
40090342,7852685
40795198,7852685
40847170,7852685
43530378,7852685
7637663,7882388
7664328,7882388
7675751,7882388
7680654,7882388
7682248,7882388
7687372,7882388
7692180,7882388
29413788,7882388
32519827,7882388
33441310,7882388
34063455,7882388
35355814,7882388
36998545,7882388
37663118,7882388
38522930,7882388
38566895,7882388
39926153,7882388
40456345,7882388
42551688,7882388
42987695,7882388
32694867,7913058
33304930,7913058
39708012,7913058
7675751,7924735
7679374,7924735
38814486,7924735
39462164,7924735
39717819,7924735
39865724,7924735
40775156,7924735
42222959,7924735
42231271,7924735
44143117,7924735
45022290,7924735
7695161,7925269
7710172,7925269
34926988,7925269
36096722,7925269
37885832,7925269
38814477,7925269
41412291,7925269
41692918,7925269
42145313,7925269
42935828,7925269
42982246,7925269
43382370,7925269
44066979,7925269
44307305,7925269
28799100,7934482
28799101,7934482
28799102,7934482
29285673,7934482
29796368,7934482
31984389,7934482
41416439,7934482
43355993,7934482
37310392,7934557
41668280,7934557
34961759,7961146
36940041,7961146
38998346,7961146
7637663,8089123
7673596,8089123
7677928,8089123
7679374,8089123
7924735,8089123
32922153,8089123
33441310,8089123
34908870,8089123
34941028,8089123
35432892,8089123
35809647,8089123
36764595,8089123
38069075,8089123
38846951,8089123
39020544,8089123
39311311,8089123
39492648,8089123
39645840,8089123
40186081,8089123
40591902,8089123
41010469,8089123
41664021,8089123
7637663,8092632
7647633,8092632
7648210,8092632
7673596,8092632
7675751,8092632
7687372,8092632
7693714,8092632
9953844,8092632
25016102,8092632
27659983,8092632
32694867,8092632
32829013,8092632
32910021,8092632
33304930,8092632
33441310,8092632
34941101,8092632
35355814,8092632
36928256,8092632
36998545,8092632
37663118,8092632
38625329,8092632
38761231,8092632
38778155,8092632
39092242,8092632
39682249,8092632
39926152,8092632
39926154,8092632
40044086,8092632
40380151,8092632
40567848,8092632
40637575,8092632
40810593,8092632
41057625,8092632
41161329,8092632
41460120,8092632
41716934,8092632
41716942,8092632
42034524,8092632
42222960,8092632
42309913,8092632
42560068,8092632
42674929,8092632
43902831,8092632
8160449,8096781
34941028,8096781
35513109,8096781
40601519,8096781
7675751,8097738
8159753,8097738
38654935,8097738
7682248,8104813
7692180,8104813
32708399,8104813
35721676,8104813
38517025,8104813
40518527,8104813
43608895,8104813
7664328,8157165
7673596,8157165
21907529,8157165
27532070,8157165
28798968,8157165
29583721,8157165
31993101,8157165
32519827,8157165
32771011,8157165
32771043,8157165
32910021,8157165
33130859,8157165
33441310,8157165
33550481,8157165
34103166,8157165
34778141,8157165
34859221,8157165
34908870,8157165
34941028,8157165
34941101,8157165
34970368,8157165
35079222,8157165
35134119,8157165
35355814,8157165
35455150,8157165
35513109,8157165
36998545,8157165
37027500,8157165
37669295,8157165
37854337,8157165
38198827,8157165
38460983,8157165
38566895,8157165
38596273,8157165
38884885,8157165
38962528,8157165
38998346,8157165
39027518,8157165
39263105,8157165
39276257,8157165
39311312,8157165
39682249,8157165
39739517,8157165
39926152,8157165
39926153,8157165
39926154,8157165
40260119,8157165
40278632,8157165
40379631,8157165
40387899,8157165
40456174,8157165
40472130,8157165
40588239,8157165
40679036,8157165
40786860,8157165
40874086,8157165
41066666,8157165
41466370,8157165
42222093,8157165
42231272,8157165
42244700,8157165
42338730,8157165
42668460,8157165
42674929,8157165
42734802,8157165
42987695,8157165
43298229,8157165
43304664,8157165
44143815,8157165
7687372,8159301
33441310,8159301
38170014,8159301
39027518,8159301
39262797,8159301
39682249,8159301
40418868,8159301
40472130,8159301
41279553,8159301
42222093,8159301
44143814,8159301
34353430,8159753
40801603,8159753
41009191,8159753
41066666,8159753
7682117,8171034
28798968,8171034
34936138,8171034
34941101,8171034
35134119,8171034
38118934,8171034
38814477,8171034
38983706,8171034
40074827,8171034
42222092,8171034
44143113,8171034
28050863,8180897
34962866,8180897
40030902,8180897
44065883,8496468
35799306,8498094
37714317,8498094
38219481,8498094
43410512,8498094
43597049,8498094
7682117,9548426
8180897,9548426
29796368,9548426
33304930,9953844
35355814,9953844
35482128,9953844
35746213,9953844
35799306,9953844
35929971,9953844
36928256,9953844
38778155,9953844
39092242,9953844
40044086,9953844
40076132,9953844
40377457,9953844
40637575,9953844
40810593,9953844
41008932,9953844
41057625,9953844
41162692,9953844
41460120,9953844
41716934,9953844
41716942,9953844
42034524,9953844
42222960,9953844
42674929,9953844
43217949,9953844
43302378,9953844
41797542,11042197
42222101,11042197
7641891,18913892
7687149,18913892
26050411,18913892
34966536,18913892
38517024,18913892
38522930,18913892
32321662,19156703
34975926,19156703
42222959,19156703
42730072,19156703
43357025,19156703
7687149,19189473
34650813,19189473
34908870,19189473
34937742,19189473
34969837,19189473
36096722,19189473
36147049,19189473
37304041,19189473
37311884,19189473
37481438,19189473
38515503,19189473
39146855,19189473
39311312,19189473
39645840,19189473
39673853,19189473
39777423,19189473
39808736,19189473
40074870,19189473
40472130,19189473
40679038,19189473
40679039,19189473
41012222,19189473
41066699,19189473
41091022,19189473
41094440,19189473
41412308,19189473
42222086,19189473
42222088,19189473
42222091,19189473
42222101,19189473
42333436,19189473
43027651,19189473
43597049,19189473
43796282,19189473
44141427,19189473
44143115,19189473
44355105,19189473
44777598,19189473
7682248,19910952
7700862,19910952
32735561,19910952
34530352,19910952
35721676,19910952
35998481,19910952
36118097,19910952
40795198,19910952
42732855,19910952
32865083,20279517
38337032,20414778
37114539,21780855
37441907,21780855
37693506,21780855
38515503,21780855
42222078,21780855
42670647,21780855
34941101,21894182
38459383,21894182
40362369,21894182
7696219,21907529
27532070,21907529
28798968,21907529
29583721,21907529
29731844,21907529
33186211,21907529
33562780,21907529
34192527,21907529
34908870,21907529
35746213,21907529
35799306,21907529
36998545,21907529
38657257,21907529
38981831,21907529
39682249,21907529
40605235,21907529
40913342,21907529
41009143,21907529
41009191,21907529
41198682,21907529
42222086,21907529
42266386,21907529
42555744,21907529
42830750,21907529
34521913,23266785
38543649,23266785
38761231,23266785
38814486,23266785
39536770,23266785
39986215,23266785
40352370,23266785
41198682,23266785
42056602,23266785
42222085,23266785
42222959,23266785
42223651,23266785
7710172,24123051
19189473,24123051
27093569,24123051
27532070,24123051
32910021,24123051
33130859,24123051
33186211,24123051
34315649,24123051
34908870,24123051
34937742,24123051
34941028,24123051
34941101,24123051
36998545,24123051
37481438,24123051
38051815,24123051
38895466,24123051
39020544,24123051
39865622,24123051
40075573,24123051
40601519,24123051
41162714,24123051
42222101,24123051
42234709,24123051
42665802,24123051
35513109,24942667
7634034,25016102
7641584,25016102
7682248,25016102
7700862,25016102
18913892,25016102
23266785,25016102
26009137,25016102
27659983,25016102
34194910,25016102
34681755,25016102
34737118,25016102
34959688,25016102
35840322,25016102
38761231,25016102
38875816,25016102
40666742,25016102
40795198,25016102
41134545,25016102
41818344,25016102
44475866,25016102
35514093,25050770
43501157,25050770
43854229,25050770
27093569,25275303
32042844,25275303
32962699,25275303
38001770,25275303
38118934,25275303
40626084,25275303
40898448,25275303
41066666,25275303
42934525,25275303
44142077,25275303
7637663,25522816
28798968,25522816
34681755,25522816
35721676,25522816
36998545,25522816
37669465,25522816
37693506,25522816
38309665,25522816
38522930,25522816
39462164,25522816
40278632,25522816
40607009,25522816
42222093,25522816
42231268,25522816
42987695,25522816
7682248,26009137
7700862,26009137
7852685,26009137
36869906,26009137
37637522,26009137
39590397,26009137
40090342,26009137
40679038,26009137
41818344,26009137
41819496,26009137
43530378,26009137
7673596,26050411
7687149,26050411
34139873,26050411
34966536,26050411
42128630,26050411
43027651,26050411
36998545,26053718
38566895,26053718
39462164,26053718
40075573,26053718
42073949,26053718
42222080,26053718
42222081,26053718
42222082,26053718
42231271,26053718
42238705,26053718
44143117,26055277
33435055,26916487
33441310,26918424
35727139,26918424
36782307,26918424
7637663,27093569
7641891,27093569
7687149,27093569
7852685,27093569
18913892,27093569
27659983,27093569
29583721,27093569
32519827,27093569
32708399,27093569
32865083,27093569
33435055,27093569
34063455,27093569
34681755,27093569
34737118,27093569
34941101,27093569
34957948,27093569
35514092,27093569
35721676,27093569
36782307,27093569
36998545,27093569
37441907,27093569
37693506,27093569
38134496,27093569
38261594,27093569
38283286,27093569
38309665,27093569
38517025,27093569
38577937,27093569
38608871,27093569
38625329,27093569
38776817,27093569
38778155,27093569
38935921,27093569
39027518,27093569
39092242,27093569
39682249,27093569
39855033,27093569
39865622,27093569
40175880,27093569
40456581,27093569
40469814,27093569
40518527,27093569
40538868,27093569
40567848,27093569
40679038,27093569
40765599,27093569
41012222,27093569
41136950,27093569
41279553,27093569
41818344,27093569
42222080,27093569
42222089,27093569
42222092,27093569
42222093,27093569
42223598,27093569
42231268,27093569
42260319,27093569
42932245,27093569
42987695,27093569
43530378,27093569
44143116,27093569
44353095,27093569
8094193,27220727
29264853,27220727
34941101,27220727
34958415,27220727
35787015,27220727
38895466,27220727
38984200,27220727
40042769,27220727
42222078,27220727
42222092,27220727
23266785,27393500
25016102,27393500
32694867,27393500
33417860,27393500
34194910,27393500
34521913,27393500
34530405,27393500
35452679,27393500
36118097,27393500
37734774,27393500
38543649,27393500
38566895,27393500
38740163,27393500
38814486,27393500
39167923,27393500
39304522,27393500
39494479,27393500
39767154,27393500
40032691,27393500
40175879,27393500
40263300,27393500
40352370,27393500
40667156,27393500
40900786,27393500
41566767,27393500
42056602,27393500
42222085,27393500
42222959,27393500
42223547,27393500
42223598,27393500
42223602,27393500
43125359,27393500
43836825,27393500
43992121,27393500
44475866,27393500
29731844,27532070
34192527,27532070
34276543,27532070
34908870,27532070
35058795,27532070
35799306,27532070
37304041,27532070
37885832,27532070
39463899,27532070
39808736,27532070
40074870,27532070
40456174,27532070
41009143,27532070
41009191,27532070
41664598,27532070
42145313,27532070
42222101,27532070
42266386,27532070
42555744,27532070
42562035,27532070
42678403,27532070
43411758,27532070
44307305,27532070
34530405,27598276
38006097,27598276
39367323,27598276
39930325,27598276
41345997,27598276
7641891,27659983
7852685,27659983
27093569,27659983
