docdb_family_id,ipc_class
20417849,F03D7/02
20417849,F03D9/00
21780855,F03D7/00
21780855,F03D7/02
21894182,F03D7/02
21907529,F03D11/02
21907529,F03D7/02
23266785,F03D11/00
23266785,F03D7/04
23266785,G06F15/00
23266785,G06F19/00
24123051,F03D7/02
24942667,F03D7/02
24942667,F03D9/00
25016102,F03D7/04
25016102,F03D9/00
25016102,H02J3/00
25016102,H02J3/38
25050770,F03D1/06
25050770,F03D7/02
25275303,F01D5/14
25275303,F03D7/02
25275303,F03G7/06
25522816,F03D7/02
25522816,F03D9/00
25522816,H02P9/30
26009137,F03D7/02
26009137,F03D7/04
26009137,F03D9/00
26009137,H02P9/00
26009545,F03D7/00
26009545,F03D9/00
26009545,G01R31/02
26009545,H02K11/00
26009545,H02K19/36
26009545,H02K7/06
26009545,H02P9/04
26009718,F03D1/02
26009718,F03D11/04
26009718,F03D7/02
26050411,F03D7/02
26050411,F03D7/04
26050411,F03D9/00
26050411,H02P3/24
26053718,F03D11/00
26053718,F03D7/00
26053718,F03D7/04
26053718,H02P9/00
26055277,F03D7/00
26055277,G01H3/08
26055277,G01H3/14
26055277,G10L15/16
26055277,G10L17/00
26055277,G10L21/02
26246824,F03D7/02
26246824,F03D7/04
26246824,H02K21/24
26246824,H02K3/47
26246824,H02P3/12
26246824,H02P3/22
26783507,F03D7/00
26783507,F03D9/02
26916487,F03B15/06
26916487,F03B15/16
26916487,F03D7/04
26918424,F03D11/02
26918424,F03D7/04
26918424,H02P9/04
27093569,F03D7/02
27093569,F03D9/00
27093569,H02P9/00
27093569,H02P9/04
27093569,H02P9/30
27093569,H02P9/42
27220727,F03D7/02
27393500,F03D11/00
27393500,F03D7/04
27419396,F03D7/04
27419396,H02J3/00
27532070,B63H1/06
27532070,B63H11/00
27532070,F03B15/06
27532070,F03D7/02
27532070,F03D9/00
27532070,H02P9/04
27598276,F03D11/02
27598276,F03D7/04
27598276,F16H47/02
27598276,F16H47/04
27659983,F03D7/02
27659983,F03D9/00
27659983,H02P9/04
27675811,F03D7/02
27675811,F03D9/00
27741484,F03D7/02
27741484,F03D7/04
27741484,G02B21/00
27741484,G02B21/06
27741484,G02B21/36
27741484,G02B26/00
27805233,B63B35/44
27805233,F03B13/00
27805233,F03D1/02
27805233,F03D11/04
27805233,F03D9/00
27805233,H02P9/04
28050789,B60T13/22
28050789,B60T13/66
28050789,F03D7/02
28050790,B60T13/22
28050790,F03D7/02
28050863,F03D1/00
28050863,F03D11/00
28050863,F03D7/02
28050863,H01H19/18
28798968,F03D1/06
28798968,F03D11/00
28798968,F03D11/02
28798968,F03D11/04
28798968,F03D7/00
28798968,F03D7/04
28798968,G01L5/00
28799100,F03D11/00
28799100,F03D7/02
28799100,F16C17/10
28799100,F16C17/26
28799101,F03D11/00
28799101,F03D7/02
28799101,F16C17/10
28799101,F16C17/26
28799102,F03D11/00
28799102,F03D7/02
29264853,B64C11/32
29264853,F03D7/02
29264853,F03D7/04
29265837,B64C11/06
29265837,F03B1/00
29265837,F03D1/06
29265837,F03D11/00
29265837,F03D7/02
29265837,F03D7/04
29265837,F15B21/04
29267358,F03D7/04
29267358,F03D9/02
29267358,H01M10/44
29267358,H01M8/00
29267358,H01M8/04
29267358,H01M8/18
29267358,H01M8/20
29267358,H02J7/00
29267358,H02P9/00
29271595,F03D11/02
29271595,F03D7/04
29271595,F03D9/00
29285673,F03D11/00
29285673,F03D7/02
29285673,F16C17/10
29285673,F16C23/02
29413788,F03D1/00
29413788,F03D11/02
29413788,F03D7/00
29415152,F03D7/02
29415152,F16D55/32
29415152,F16D65/095
29415152,F16D69/04
29549829,F03D11/02
29549829,F03D9/00
29549829,F04B17/02
29549829,F16H61/42
29583721,F03D7/02
29595354,F03D11/00
29595354,F03D11/04
29595354,F03D7/02
29710348,F03D7/02
29710348,F03D7/04
29710348,F03D9/00
29715422,F03D7/04
29715422,F03D9/00
29715422,H02P9/04
29719109,B63H1/06
29719109,F03D11/00
29719109,F03D7/02
29720179,F03D1/06
29720179,F03D7/02
29731844,F03D7/02
29796368,F03D11/00
29796368,F03D7/02
29796368,F04D29/08
29796368,F16C19/54
30010680,F03D7/02
30010680,F15B11/00
30010680,F15B20/00
31185862,F03B13/00
31185862,F03B13/10
31185862,F03D1/04
31185862,F03D11/04
31185862,F03D3/04
31185862,F03D7/04
31185862,H02P9/04
31187021,F03D7/02
31984389,F03D11/00
31984389,F03D7/02
31991262,F03D7/02
31993101,F03D7/00
31993101,F03D7/02
32042844,F03D7/02
32092555,F03D1/00
32092555,F03D7/00
32092827,F03D7/02
32092827,F03D9/00
32092827,H02K16/00
32092827,H02K29/10
32092827,H02K5/15
32092827,H02K7/08
32092827,H02K7/102
32092827,H02K7/18
32303311,F03D1/00
32303311,F03D1/06
32303311,F03D11/00
32303311,F03D11/02
32303311,F03D11/04
32303311,F03D7/02
32303311,F03D7/04
32319513,F03D7/02
32319513,F03D9/00
32319513,H02J3/00
32319513,H02K16/04
32319513,H02K7/18
32321662,F03D9/00
32321662,H02P9/00
32321662,H02P9/04
32321662,H02P9/08
32480341,B63H1/06
32480341,F03D11/00
32480341,F03D7/02
32519827,B64C11/30
32519827,F03D7/02
32519827,F03D7/04
32587986,F03D1/06
32587986,F03D7/02
32652579,F03D11/00
32652579,F03D7/02
32652579,F16C33/72
32652579,F16J15/16
32652579,F16J15/32
32668617,B63H1/06
32668617,F03D11/00
32668617,F03D7/00
32668617,F03D7/02
32694867,F03D7/04
32694867,F03D9/00
32694867,H02P9/40
32708399,F03B15/08
32708399,F03B15/16
32708399,F03D7/00
32708399,F03D7/04
32708399,F03D9/00
32708399,H02P21/14
32708399,H02P9/00
32708399,H02P9/04
32708399,H02P9/10
32708399,H02P9/14
32708399,H02P9/48
32735561,F03D7/02
32735561,F03D7/04
32771011,F03D11/00
32771011,F03D7/02
32771043,F03D11/00
32771043,F03D7/02
32829013,F03D11/00
32829013,F03D7/04
32829013,F03D9/00
32829013,F03D9/02
32829013,H02J3/38
32829013,H02P9/00
32864375,F03D11/00
32864375,F03D7/02
32864375,F16C17/10
32864375,F16C17/26
32864376,F03D11/00
32864376,F03D7/02
32864376,F16C17/10
32864376,F16C17/26
32864376,F16C25/02
32865083,F03D7/02
32865083,F03D9/00
32865083,H02J3/38
32865083,H02P9/04
32910021,F03D7/02
32910021,F03D7/04
32910021,F03D9/00
32910021,H02P9/04
32922153,F03D7/02
32922153,F03D9/00
32922153,H02P7/00
32922153,H02P9/04
32962699,F03D9/00
32962699,F03D9/02
33039099,F03D7/02
33039099,F03D9/02
33039099,H02J7/32
33039099,H02J7/34
33039175,F03D11/00
33039175,F03D7/02
33039175,F04D29/04
33039175,F16H57/04
33130859,F03D1/06
33130859,F03D7/02
33186211,F03D7/00
33186211,F03D7/02
33300065,B63H1/06
33300065,F03D1/06
33300065,F03D11/02
33300065,F03D11/04
33300065,F03D7/02
33300065,F03D7/04
33304930,F03D11/00
33304930,F03D7/02
33304930,F03D9/00
33304930,H02P9/04
33394310,B60T13/68
33394310,F03D7/02
33417860,F03D7/04
33417860,G01W1/00
33417860,G05D9/00
33417860,G06F19/00
33426916,F03B15/06
33426916,F03B3/12
33426916,F03D1/06
33426916,F03D7/02
33426916,F03D7/04
33427410,F03D1/04
33427410,F03D7/02
33435055,H02P11/00
33435055,H02P7/06
33435055,H02P9/00
33435055,H02P9/04
33435055,H02P9/10
33435055,H02P9/44
33435055,H02P9/46
33435955,F03D7/00
33435955,F03D7/02
33435955,F03D9/00
33435955,F03D9/02
33441310,F03D11/00
33441310,F03D7/04
33441310,F04D27/02
33441310,F04D29/00
33514968,B23K9/10
33514968,F02N15/06
33514968,F03D3/00
33514968,F03D7/04
33514968,F03D9/00
33514968,H02H7/06
33514968,H02K7/18
33514968,H02P11/00
33514968,H02P9/00
33515012,B63H1/06
33515012,F03D3/00
33515012,F03D3/06
33539078,F03D7/04
33539078,F03D9/00
33539078,F03D9/02
33547553,F03D1/00
33547553,F03D11/00
33547553,F03D7/00
33547553,F03D7/02
33547553,G08B21/00
33550055,F03D1/06
33550055,F03D11/04
33550055,F03D7/02
33550055,F03D7/04
33550055,G01P13/02
33550055,G01P5/06
33550481,F03B15/06
33550481,F03D11/04
33550481,F03D7/04
33550481,F03D9/00
33550481,F16D31/02
33550481,H02P9/04
33562574,F01D15/10
33562574,F03D7/04
33562574,F03D9/00
33562574,H02H7/06
33562574,H02P11/00
33562574,H02P21/05
33562574,H02P9/00
33562574,H02P9/10
33562780,F03D11/00
33562780,F03D7/02
33562780,F03D7/04
34063455,F03D7/02
34063455,F03D9/00
34063455,H02J3/18
34063455,H02P9/00
34103166,F03D11/00
34103166,F03D7/02
34112651,F03D7/02
34129838,F03D7/00
34129838,F03D7/04
34129838,F03D9/00
34129838,H02H7/06
34129838,H02P9/00
34139873,F03D7/02
34139873,F03D7/04
34139873,F03D9/00
34139873,F16H1/32
34139873,H02P1/04
34139873,H02P9/04
34177692,F03D7/02
34177692,F03D9/00
34177692,F03D9/02
34177692,H02P9/48
34178077,B60T11/00
34178077,F03D7/02
34178077,F16D55/08
34178077,F16D65/14
34192527,F03D7/02
34194910,F03D7/04
34194910,F03D9/00
34194910,G06F1/24
34194910,G06F15/16
34194910,G06F17/00
34194910,G06F17/30
34194910,G06F7/04
34194910,G06F7/58
34194910,G06F9/00
34194910,G06K19/00
34194910,G06K9/00
34194910,H04L9/32
34203138,F03D11/00
34203138,F03D7/02
34259111,F03D7/02
34259111,F03D7/04
34259111,F03D9/00
34276543,F03B13/00
34276543,F03D7/04
34276543,F03D9/00
34276543,H02J3/40
34276543,H02P9/00
34276543,H02P9/04
34315649,B64C11/06
34315649,F03D7/02
34315649,F03D7/04
34353399,F03D7/02
34353430,F03D1/06
34353430,F03D7/02
34353430,F03D7/04
34355502,E04H12/18
