appln_id,appln_auth,docdb_family_id,YR_PUB,SQ_APLS,CA_GRANT,REGION,SQ_SCOPE,LN_FAMSIZE,CA_NPL
48297103,US,37909986,2007,0,0,1,2,1,0
48311569,US,29583721,2003,1,1,2,1,2,0
48312574,US,29710348,2003,0,1,1,1,1,1
48340876,US,34937742,2006,1,1,2,1,1,1
48345283,US,7934482,2003,1,1,2,1,3,1
48345476,US,7934557,2004,1,1,2,1,3,0
48481352,US,36764595,2007,1,1,2,1,1,0
48541321,US,37693506,2007,1,1,1,1,1,1
48556262,US,32922153,2006,1,1,2,1,2,1
48571560,US,26009718,2003,1,0,2,1,2,0
48638105,US,8159301,2003,1,1,2,1,2,2
48674419,US,31187021,2004,1,1,1,1,1,1
48747697,US,37027500,2006,1,1,2,1,1,3
48789318,US,37441907,2007,1,1,2,1,2,1
48791932,US,37854337,2007,0,1,1,1,1,0
48794461,US,26918424,2003,1,1,1,1,1,0
48800332,US,7696033,2003,1,1,2,1,2,0
48808270,US,7696219,2003,1,1,2,1,1,0
48922393,US,36928409,2007,1,1,2,1,2,0
48932101,US,7637663,2003,1,1,2,1,2,0
48939261,US,31991262,2004,1,0,1,1,1,0
48988390,US,37665466,2007,1,0,2,1,2,0
49003319,US,37311884,2007,1,1,2,1,2,0
49012353,US,34926988,2006,1,1,2,1,1,2
49032275,US,31993101,2004,0,1,1,1,1,0
49154646,US,32042844,2004,1,1,1,1,1,0
49189205,US,32092555,2004,1,0,1,1,1,0
49205703,US,32092827,2004,1,0,1,1,1,0
49216122,US,35448152,2006,1,1,2,1,2,4
49220782,US,20279517,2004,1,0,1,1,2,0
49222913,US,7641030,2003,1,1,2,1,3,0
49227627,US,7641891,2003,1,1,2,1,3,2
49275544,US,37074201,2007,1,1,2,1,1,3
49324187,US,37560923,2007,1,0,2,1,1,0
49334696,US,37873336,2007,1,1,2,1,2,2
49383089,US,37672449,2007,1,1,2,1,1,0
49384714,US,38118934,2007,1,1,1,1,2,1
49391534,US,32587986,2003,1,1,1,1,1,0
49488652,US,38337032,2007,1,1,1,2,1,0
49607833,US,27598276,2003,1,1,1,1,1,2
49656372,US,35589532,2006,1,0,2,1,1,0
49680645,US,7647633,2004,0,1,2,2,3,0
49681327,US,7648210,2003,1,1,2,1,2,9
49700389,US,38197650,2007,1,1,2,1,1,6
49734108,US,27532070,2006,1,1,2,2,2,0
49753323,US,38286555,2007,1,1,1,2,1,2
49802503,US,32319513,2004,1,1,1,2,1,0
49964186,US,38366946,2007,0,0,1,1,1,0
50033452,US,32771011,2004,1,1,1,1,1,3
50035905,US,32771043,2004,1,1,1,1,1,2
50236117,US,38134496,2007,1,1,2,1,1,3
50383035,US,38517024,2007,1,1,1,1,1,1
50446336,US,8092632,2001,1,1,2,1,2,10
50465603,US,27805233,2003,1,1,2,2,2,4
50539095,US,35452679,2005,1,1,1,1,1,5
50649189,US,37187106,2006,1,1,1,1,1,0
50742981,US,38051815,2007,1,1,2,1,1,0
50756686,US,38015725,2007,1,1,2,0,1,0
50760664,US,38514238,2007,1,1,2,1,1,0
50784428,US,38283286,2007,1,1,2,1,1,1
50807477,US,38875816,2008,1,1,1,1,1,0
50808383,US,28798968,2004,1,1,2,1,2,0
50808663,US,38261594,2008,1,1,2,1,1,1
50811034,US,37022124,2007,0,0,1,1,1,0
50843709,US,7664328,2004,0,1,2,1,3,0
50893601,US,29271595,2005,0,0,2,1,1,0
50898977,US,33417860,2004,1,1,1,2,1,0
50941526,US,7837740,2002,1,1,2,1,3,1
50988266,US,19156703,2004,1,1,1,1,2,0
50991485,US,38822197,2007,1,0,1,1,1,0
51046176,US,29715422,2003,1,1,1,1,1,5
51084385,US,7836808,2002,1,1,2,1,3,0
51106706,US,11042197,2004,1,0,1,1,1,0
51121828,US,7675751,2004,0,1,2,1,3,0
51140534,US,7673596,2004,1,0,2,1,3,0
51144515,US,7677928,2004,1,1,2,1,3,4
51145531,US,7677929,2004,0,1,2,1,3,0
51157298,US,7679374,2004,0,1,2,1,3,6
51177710,US,7682248,2004,0,1,1,1,1,9
51208442,US,37011542,2007,1,1,2,2,1,0
51211892,US,7687372,2004,0,1,2,1,3,0
51221987,US,26009545,2004,0,1,2,2,3,0
51257773,US,36998545,2007,1,1,1,1,2,0
51273546,US,7696580,2004,0,1,2,2,3,0
51284667,US,33515012,2006,1,1,2,1,3,0
51284717,US,33514968,2006,1,1,2,2,2,0
51290122,US,32303311,2004,0,1,2,1,2,0
51298515,US,23266785,2005,1,1,2,1,2,3
51361863,US,7710172,2006,1,1,2,2,2,1
51389578,US,27741484,2005,1,1,2,1,2,0
51433785,US,28050789,2005,1,1,2,1,2,0
51462683,US,29267358,2005,1,1,2,2,2,0
51465296,US,29264853,2005,1,1,2,1,2,0
51465322,US,29265837,2006,1,1,2,2,2,2
51529235,US,31185862,2006,1,1,2,2,3,4
51534408,US,29796368,2006,1,1,2,2,2,9
51578453,US,34961759,2007,1,1,2,2,3,0
